"HAUL_NUMBER";"GENUS";"SPECIES";"WEIGHT_OF_THE_SAMPLE_MEASURED";"ESTIMATED_WEIGHT";"perc_diff"
95;"ILLE";"COI";345;323.761614449468;6.55988375479473
150;"ILLE";"COI";345;368.238500332086;-6.31071990330418
76;"LOLI";"VUL";345;396.019616343367;-12.8831033206019
105;"OCTO";"VUL";345;416.761606735741;-17.2188621926596
137;"MULL";"BAR";350;377.912451633756;-7.38595712130873
162;"MULL";"BAR";350;342.068233264185;2.31876741670096
107;"LOPH";"BUD";350;335.955876085371;4.18034775229254
148;"TRIS";"CAP";350;318.918333834737;9.7459640502729
150;"ELED";"CIR";350;323.935723187491;8.04612611293359
84;"ILLE";"COI";350;413.578788732043;-15.3728359539337
109;"LOLI";"VUL";350;428.435220904841;-18.3073699541294
112;"LOLI";"VUL";350;396.049550403857;-11.6272194620344
154;"MERL";"MER";360;309.757542934228;16.2199301395029
101;"OCTO";"VUL";365;324.415488298732;12.5100413405345
121;"SQUA";"BLA";370;534.125158978466;-30.7278465018127
157;"ELED";"CIR";370;334.300340617369;10.6789180401979
77;"ILLE";"COI";375;362.92631484165;3.32675936260442
156;"RAJA";"MIR";375;353.48896610357;6.08534804736392
104;"ILLE";"COI";380;433.855193686439;-12.4131725216505
117;"MERL";"MER";385;347.885902827665;10.6684682738412
93;"LEPM";"BOS";395;398.170812858989;-0.796344874256736
143;"MERL";"MER";400;421.746715615118;-5.15634498383713
148;"MERL";"MER";400;394.395291827691;1.42108901613299
100;"ELED";"MOS";400;394.717297120034;1.33835099665267
152;"MICM";"POU";400;321.252155078598;24.5127833935109
156;"SPIC";"SMA";400;398.66555818032;0.334727139653273
76;"TRAC";"TRA";400;477.427357268477;-16.2176205635691
145;"ELED";"CIR";405;583.869202111016;-30.6351493561063
78;"MERL";"MER";410;403.584129401361;1.58972321536909
152;"MERL";"MER";410;372.343830230979;10.1132788330779
133;"MULL";"BAR";415;451.049368554785;-7.99233322735627
123;"BOOP";"BOO";420;398.844623158844;5.30416498374861
88;"TRAC";"TRA";425;547.768850688773;-22.4125286668641
157;"OCTO";"VUL";425;384.584351179635;10.5089166255459
88;"ELED";"CIR";430;471.79360485341;-8.85845090384292
134;"LOLI";"VUL";435;593.075808404898;-26.6535586454031
95;"PAPE";"LON";440;398.280859291998;10.474804333345
76;"ELED";"CIR";445;352.403428444873;26.2757294853084
83;"ILLE";"COI";445;515.026706579726;-13.5967136626313
146;"LEPM";"BOS";450;497.932567650763;-9.62631704869351
139;"HELI";"DAC";450;435.263814039107;3.38557570962456
105;"MERL";"MER";450;385.311622065733;16.7885872705991
146;"TRAC";"TRA";455;558.119502393286;-18.4762406529599
110;"TRAC";"MED";460;382.924131174561;20.1282349558439
138;"MERL";"MER";460;458.779688416942;0.265990760678338
76;"MULL";"BAR";480;522.822936522291;-8.19071496884584
107;"ILLE";"COI";480;593.622269331482;-19.1404998096584
125;"MERL";"MER";490;410.172757606055;19.4618586714171
139;"MULL";"BAR";500;519.37575796496;-3.73058574025075
157;"MULL";"BAR";500;537.892687391296;-7.04465561245493
93;"TRIS";"CAP";500;435.417187125432;14.8323986246237
158;"LOPH";"PIS";500;641.916492706542;-22.1082483966369
160;"TRAC";"TRA";500;647.738188432166;-22.8083184024957
78;"ARIT";"ANT";510;616.579395989905;-17.2855915528598
77;"GALU";"MEL";510;367.015538866521;38.9586941128074
158;"MULL";"BAR";515;589.138138943981;-12.5841689823158
161;"LOPH";"BUD";515;407.513148191441;26.3762905038991
150;"ASPI";"CUC";520;493.79674283303;5.30648643339267
121;"PAGE";"ERY";520;523.707620070212;-0.7079561053006
139;"LOPH";"PIS";525;640.469227537922;-18.028848627405
139;"PHYI";"BLE";550;586.602197965751;-6.23969669610542
121;"TRIG";"LUC";565;553.760012168082;2.02975794296
86;"CHIM";"MON";570;694.165979452928;-17.8870735714797
85;"MICM";"POU";570;546.942838829192;4.215643671314
145;"GALU";"MEL";575;439.075587278605;30.956950616147
