N.;MeditsCode;Scientific Name                                                 valid;Authorship ;Source;Reference;Remarks;CATFAU;CODLON;GSAs;Year
696;LEPASPP;Lepadogaster spp.;Goüan, 1770;C;208.4;;Ao;0;5, 8, 9, 17;2011 (9)
697;LEPCPUG;Leptochela pugnax;De Man, 1916;;;? AL;B;m;22;2014 (22)
698;LEPGSAR;Leptogorgia sarmentosa;(Esper, 1789);R;p. 174 Tav. 63;;Ecn;0;10, 18;2011 (18)
699;LEPICAU;Lepidopus caudatus;(Euphrasen, 1788);C;155.04.01;;Ao;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 23, 25;
700;LEPMBOS;Lepidorhombus boscii;(Risso, 1810);C;195.02.02;;Ao;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 23, 25;
701;LEPMSPP ;Lepidorhombus spp.;Günther, 1862;;;;Ao;0;17;2014 (17)
702;LEPMWHS;Lepidorhombus whiffiagonis;(Walbaum, 1792);C;195.02.01;;Ao;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 23, 25;
703;LEPOLEP;Lepidion lepidion;(Risso, 1810);C;103.06.01;;Ao;0;5, 6, 7, 8, 9, 11, 17;
704;LEPRPHA;Leptometra phalangium;(Müller, 1841);R;p. 546 Tav. 217;;Eec;0;1, 2, 5, 6, 9, 10, 11, 18;2011 (9, 10, 18)
705;LEPRSPP;Leptometra spp.;Clark, 1908;;;;Eec;;7, 8;2013 (7, 8)
706;LEPSANA;Lepas anatifera;Linnaeus, 1758;;;;Bci;;16;2013 (16)
707;LEPTCAV;Lepidotrigla cavillone;(Lacepède, 1801);C;185.04.01;;Ao;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 23, 25;
708;LEPTDIE;Lepidotrigla dieuzeidei;Blanc & Hureau, 1973;C;185.04.02;;Ao;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 20, 22, 23, 25;
709;LEPTSPP ;Lepidotrigla spp.;Günther, 1860 ;;;;Ao;0;17;2014 (17)
710;LEPYINH;Leptosynapta inhaerens;(O.F. Müller, 1776);;;;Eec;;16;2013 (16)
711;LESTJAY;Lestidiops jayakari jayakari;(Boulenger, 1889);;;;Ao;0;16;2014 (16)
712;LESTSPD;Lestidiops sphyrenoides;(Risso, 1820);C;63.02.01;;Ao;0;6, 7, 8, 17, 22;
713;LESTSPP;Lestidiops spp.;Hubbs, 1916;C;63.2;;Ao;0;6, 10, 17, 22;
714;LESUSPP;Lesueurigobius spp.;Whitley, 1950;;;;Ao;0;5;2014 (5)
715;LICHAMI;Lichia amia;(Linnaeus, 1758);C;131.05.01;;Ao;0;6, 22;
716;LIGUENS;Ligur ensiferus;(Risso, 1816);Z;133;;B;m;1, 2, 5, 6, 7, 8, 9, 11, 15, 19, 22;
717;LIMALIM;Lima lima;(Linnaeus, 1758);;;;Emb;;5;2013 (5)
718;LIMASPP;Lima spp.;Bruguière, 1797 ;;;;Emb;;5;2014 (5)
719;LIMRHIA;Limaria hians;(Gmelin, 1791) ;;;;Emb;;5;2013 (5)
720;LIPOADR;Microlipophrys adriaticus;(Steindachner & Kolombatovic, 1883);C;164.01.02;a31;Ao;0;25;2012 (25)
721;LISSCHI;Lissa chiragra;(Fabricius, 1775);Z;459;;B;m;1, 2, 5, 6, 11, 18;
722;LITHMOR;Lithognathus mormyrus;(Linnaeus, 1758);C;139.05.01;;Ao;0;6, 7, 8, 9, 10, 11, 16, 17, 18, 19, 22, 23;
723;LITOCOR;Lithothamnion corallioides;P.L. Crouan & H.M. Crouan, 1867 ;;;;V;;5;2013 (5)
724;LITOMIN;Lithothamnion minervae;Basso, 1995 ;;;;V;;1, 2, 5, 6;2013 (1, 2, 5, 6)
725;LITOSPP;Lithothamnion spp.;Heydrich, 1897;;;;V;;1, 2, 5, 6;2013 (1, 2, 5, 6)
726;LITOVAL;Lithothamnion valens;Foslie, 1909 ;;;;V;;5;2013 (5)
727;LITPRAC;Lithophyllum racemus;Foslie, 1901;;;;V;;1, 2, 5, 6;2013 (1, 2, 5, 6)
728;LITPSPP;Lithophyllum spp.;Philippi, 1837 ;;;;V;;5;2013 (5)
729;LITTNER;Melarhaphe neritoides;(Linnaeus, 1758);;;e16;Emg;;16;2013 (16)
730;LIZAAUR;Liza aurata;(Risso, 1810);C;181.03.02;;Ao;0;1, 6, 7, 9, 10, 11, 16, 17, 19, 22;
731;LIZARAM;Liza ramada;(Risso, 1827);C;181.03.01;;Ao;0;1, 6, 7, 9, 17, 18, 19, 22;
732;LIZASAL;Liza saliens;(Risso, 1810);C;181.03.04;;Ao;0;7, 9, 11;
733;LOBAGIG;Lobatus gigas;Linnaeus, 1758 ;;;?;Dmb;;1, 2, 5, 6;2013 (1, 2, 5, 6)
734;LOBIDOF;Lobianchia dofleini;(Zugmayer, 1911);C;58.14.12;;Ao;0;1, 2, 5, 6, 8, 9, 10, 16, 18, 19, 20, 22, 23, 25;
735;LOBIGEM;Lobianchia gemellarii;(Cocco, 1838);C;58.14.01;;Ao;0;5, 10, 15, 16, 17, 19, 22;
736;LOBISPP;Lobianchia spp.;Gatti, 1904 ;;;;Ao;0;5, 16;2014 (5)
737;LOLIFOR;Loligo forbesii;Steenstrup, 1857;F;LOLIG Lolig 2;;C;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 17, 18, 19, 20, 22, 23, 25;
738;LOLISPP;Loligo spp.;Lamarck, 1798;F;LOLIG Lolig;;C;0;7, 8, 11, 22;
739;LOLIVUL;Loligo vulgaris;Lamarck, 1798;F;LOLIG Lolig 1;;C;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 17, 18, 19, 20, 22, 23, 25;
740;LOPEPER;Lophelia pertusa; (Linnaeus, 1758);R;p. 169 Tav. 61;;Ecn;0;9, 15, 19;2011 (9, 19)
741;LOPHBUD;Lophius budegassa;Spinola, 1807;C;210.01.02;;Ao;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 23, 25;
742;LOPHPIS;Lophius piscatorius;Linnaeus, 1758;C;210.01.01;;Ao;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 23, 25;
743;LOPHSPP;Lophius spp.;Linnaeus, 1758;C;210.1;;Ao;0;7, 8, 9, 22, 23;
744;LOPOTYP;Lophogaster typicus;M. Sars, 1857;R;p. 471 Tav. 189;;B;m;1, 5, 6, 9, 17, 19, 20, 22;
745;LUIDCIL;Luidia ciliaris;(Philippi, 1837);R;p. 565 Tav. 223;;Eec;0;1, 2, 5, 6, 9, 15, 18, 19;2011 (9, 18)
746;LUIDSAR;Luidia sarsii;(Düben & Koren, 1846);;;;Eec;0;1, 2, 5, 6, 9, 10, 18, 19;2011 (10, 18)
747;LUIDSPP;Luidia spp.;Forbes, 1839 ;;;;Eec;;1, 2, 6, 16;2013 (1, 2, 6)
748;LUMBLAT;Lumbrineris latreilli;Audouin & Milne-Edwards, 1834;;;;Epo;;18;2014 (18)
749;LUMBSPP;Lumbrineris spp.;Blainville, 1828;;;;Epo;;10;2013 (10)
750;LUNACAT;Euspira catena;(Da Costa, 1778);F;NAT;e17;Emg;0;6;
751;LUNAFUS;Euspira fusca;(Blainville, 1825);F;NAT;e18;Emg;0;1, 2, 5, 6, 9, 19;
752;LUNAGUI;Euspira guilleminii;(Payraudeau, 1826);;;e19;Emg;;16;2013 (16)
753;LUNASPP;Euspira spp.;Agassiz, 1837;;;e20;Emg;;1, 5;2013 (1, 5)
754;LUTRSPP;Lutraria spp.;Lamarck, 1799;R;p. 342;;Emb;0;1, 6, 19;
755;LYSMSET;Lysmata seticaudata;(Risso, 1816);;;;B;m;20, 22, 25;2014 (20, 22, 25)
756;LYTOMYR;Lytocarpia myriophyllum;(Linnaeus, 1758);R;p. 133 Tav. 46;;Ecn;0;1, 10, 18, 19;2011 (18, 19)
757;MACOSCO;Macroramphosus scolopax;(Linnaeus, 1758);C;96.01.01;;Ao;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 23, 25;
758;MACRLIN;Macropodia linaresi;Forest & Zariquiey-Alvarez, 1964;Z;479;;B;m;1, 2, 5, 6, 15;
759;MACRLOG;Macropodia longirostris;(Fabricius, 1775);;;;B;;5, 10, 16, 18, 20, 22, 25;2013 (16)
760;MACRLON;Macropodia longipes;(A. Milne-Edwards & Bouvier, 1899);Z;482;;B;m;1, 2, 5, 6, 9, 10, 15, 17, 18, 19, 20, 22, 25;
761;MACRROS;Macropodia rostrata;(Linnaeus, 1761);F;MAJI;;B;m;1, 5, 6, 9, 10, 19, 20;
762;MACRSPP;Macropodia spp.;Leach, 1814;Z;476;;B;m;9;2011 (9)
763;MACRTEN;Macropodia tenuirostris;(Leach, 1814);;;?;B;m;7;2013 (7)
764;MADROCU;Madrepora oculata;Linnaeus, 1758;;;;Ecn;;16, 19;2013 (16)
765;MAJABRA;Maja brachydactyla;Balss, 1922;;;?;B;m;7;2013 (7)
766;MAJACRI;Maja crispata;Risso, 1827;F;MAJI Maja;;B;m;1, 2, 5, 6, 9, 11, 17, 18, 19, 20, 22, 25;
767;MAJAGOL;Maja goltziana;d'Oliveira, 1888;Z;447;;B;m;11, 18, 20, 22, 25;2011 (18)
768;MAJASQU;Maja squinado;(Herbst, 1788);F;MAJI Maja 1;;B;m;5, 7, 8, 9, 10, 11, 15, 17, 18, 19, 20, 22, 25;
769;MAJIDAE;Majidae;Samouelle, 1819;;;;B;;1, 25;2013 (1)
770;MARIBLA;Marionia blainvillea;(Risso, 1818) ;;;;Emo;;1, 5, 7;2013 (1, 5)
771;MARTGLA;Marthasterias glacialis;(Linnaeus, 1758);R;p. 563 Tav. 223;;Eec;0;1, 2, 5, 6, 9, 10, 11, 15, 17, 18, 19;2011 (9, 10, 18, 19)
772;MAURMUE;Maurolicus muelleri;(Gmelin, 1789);C;37.08.01;;Ao;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 23, 25;
773;MCPIARC;Liocarcinus navigator;(Herbst, 1794);F;PORT Lioc 3;b11;B;m;1, 6, 25;
774;MCPICOR;Liocarcinus corrugatus;(Pennant, 1777);Z;372;b12;B;m;1, 5, 6, 9, 15, 18, 22;
775;MCPIDEP;Liocarcinus depurator;(Linnaeus, 1758);F;PORT Lioc 4;b13;B;m;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 17, 18, 19, 20, 22, 25;
776;MCPIMAC;Liocarcinus maculatus;(Risso, 1827);F;PORT Lioc;b14;B;m;1, 6, 9, 10;
777;MCPIPUB;Necora puber;(Linnaeus, 1767);F;PORT Neco 1;b15 ?;B;m;7;
778;MCPISPP;Liocarcinus spp.;Stimpson, 1871;;;b16;B;;1, 2, 5, 6, 22, 23;2013 (1, 2, 5, 6)
779;MCPITUB;Macropipus tuberculatus;(Roux, 1830);F;PORT Macro 1;;B;m;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 17, 18, 19, 20, 22;
780;MCPIVER;Liocarcinus vernalis;(Risso, 1816);Z;377;b17;B;m;9, 10, 18, 25;2011 (9, 10)
781;MEGANOR;Meganyctiphanes norvegica;(M. Sars, 1857);R;p. 429 Tav. 170;;Beu;m;1, 5, 6, 9, 10, 11, 17;
782;MEGETRU;Megerlia truncata;(Linnaeus, 1767);;;;Eba;;16;2013 (16)
783;MELAATL;Melanostigma atlanticum;Koefoed, 1952;C;170.06.01;;Ao;0;5, 6, 7;
784;MERLMER;Merluccius merluccius;(Linnaeus, 1758);C;100.01.01;;Ao;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 23, 25;
785;MESOINT;Mesothuria intestinalis;(Ascanius, 1805);;;;Eec;;1, 6, 16, 19;2013 (1, 6)
786;METRSEN;Metridium senile;Linnaeus, 1761;;;?;Ecn;;7;2013 (7)
787;MICDTEN;Microdictyon tenuius;Gray, 1866;;;;V;;1, 2, 5, 6;2013 (1, 2, 5, 6)
788;MICICOC;Microichthys coccoi;Rüppell, 1852;C;127.04.01;;Ao;0;9, 10, 18, 19;2011 (9, 10, 18)
789;MICMPOU;Micromesistius poutassou;(Risso, 1827);C;101.08.01;;Ao;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 23;
790;MICOCLA;Microcosmus claudicans;(Savigny, 1816);;;;Dtu;;5, 16;2013 (16)
791;MICOPOL;Microcosmus polymorphus;Heller, 1877;;;;Dtu;;5, 18;2013 (18)
792;MICOSAB;Microcosmus sabatieri;Roule, 1885;F;PYUR Micr 2;;Dtu;0;1, 2, 5, 6, 7, 8, 9, 17;
793;MICOSPP;Microcosmus spp.;Heller, 1877;F;PYUR Micr;;Dtu;0;1, 5, 6, 8, 9, 11, 18;2011 (9, 18)
794;MICOSQU;Microcosmus squamiger;Michaelsen, 1927;;;AL;Dtu;0;18;2011 (18)
795;MICOVUL;Microcosmus vulgaris;Heller, 1877;F;PYUR Micr 3;;Dtu;0;10, 11, 18, 19;2011 (10, 18, 19)
796;MICUAZE;Microchirus azevia;(Brito Capello, 1867);C;198.05.02;a32 ?;Ao;0;1;
797;MICUBOS;Microchirus boscanion;(Chabanaud, 1926);C;198.05.04;? ?;Ao;0;1;
798;MICUOCE;Microchirus ocellatus;(Linnaeus, 1758);C;198.05.03;;Ao;0;1, 5, 6, 9, 11, 15, 16, 17, 18, 19, 20, 22;
799;MICUVAR;Microchirus variegatus;(Donovan, 1808);C;198.05.01;;Ao;0;1, 2, 5, 6, 7, 8, 9, 11, 15, 16, 17, 18, 19, 20, 22, 25;
800;MODIADR;Gibbomodiola adriatica;(Lamarck, 1819);F;MYTIL;d24;Dmb;;16;2013 (16)
801;MODIBAR;Modiolus barbatus;(Linnaeus, 1758);F;MYTIL Modi 1;;Dmb;0;18;2011 (18)
802;MODIMOD;Modiolus modiolus;(Linnaeus, 1758);;;?;Dmb;;5;2014 (5)
803;MODOSUB;Musculus subpictus;(Cantraine, 1835);;;d25;Dmb;0;18, 19;2011 (18)
804;MOLAMOL;Mola mola;(Linnaeus, 1758);C;207.01.01;;Ao;0;1, 5, 6, 7, 9, 17;
805;MOLGAPP;Molgula appendiculata;Heller, 1877 ;;;;Etu;;1, 5, 6;2013 (1, 5, 6)
806;MOLGMAN;Molgula manhattensis;(De Kay, 1843);;;;Etu ;;10;2014 (10)
807;MOLGOCC;Molgula occulta;Kupffer, 1875;;;;Etu;0;18;2011 (18)
808;MOLGSOC;Molgula socialis;Alder, 1863;;;;Etu;;16;2013 (16)
809;MOLGSPP;Molgula spp.;Forbes, 1848;R;p. 597;;Etu;0;6, 19;2011 (19)
810;MOLPMUC;Molpadia musculus;Risso, 1826 ;;;;Eec;;1, 6, 16, 18, 19;2013 (1, 6)
811;MOLVDYP;Molva dypterygia;(Pennant, 1784);C;101.14.02;;Ao;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 23;
812;MOLVMAC;Molva macrophthalma;(Rafinesque, 1810);F;GADI Molv 1;;Ao;0;1, 5, 6, 7, 8, 11;2013 (7, 8)
813;MOLVMOL;Molva molva;(Linnaeus, 1758);C;101.14.01;;Ao;0;1, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 22, 23;
814;MONIPAT;Monia patelliformis;(Linnaeus, 1761) ;;;;Dmb;;19;2014 (19)
815;MONOHIS;Monochirus hispidus;Rafinesque, 1814;C;198.06.01;;Ao;0;1, 5, 6, 7, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 25;
816;MORAMOR;Mora moro;(Risso, 1810);C;103.07.01;;Ao;0;1, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 22;
817;MORIRUG;Galeodea rugosa;(Linnaeus, 1771);F;CASS Cass 2;d16;Dmg;0;1, 2, 5, 6, 9, 10, 11, 15, 17, 18;
818;MUGICEP;Mugil cephalus;Linnaeus, 1758;C;181.01.01;;Ao;0;6, 9, 10, 16, 17, 18, 19, 20;
819;MUGISPP;Mugilidae;;C;181;a33;Ao;0;9;
820;MUGLDAE;Mugilidae;;C;181;a33;Ao;0;9;
821;MULLBAR;Mullus barbatus;Linnaeus, 1758;C;138.01.01;;Ao;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 23, 25;
822;MULLSUR;Mullus surmuletus;Linnaeus, 1758;C;138.01.02;;Ao;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 23, 25;
823;MUNICUR;Munida curvimana;A. Milne-Edwards & Bouvier, 1894;Z;283;;B;m;7, 8, 22;
824;MUNIINT;Munida intermedia;A. Milne-Edwards & Bouvier, 1899;Z;286;b18;B;m;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 17, 18, 19, 20, 22;
825;MUNIIRI;Munida iris;A. Milne Edwards, 1880;Z;283;b19;B;m;1, 5, 6, 7, 10, 19, 20, 22;
826;MUNIPER;Munida intermedia;A. Milne-Edwards & Bouvier, 1899;Z;286;b18;B;m;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 17, 18, 19, 20, 22;
827;MUNIRUG;Munida rugosa;(Fabricius, 1775);Z;285;;B;m;1, 7, 9, 10, 17, 18, 19, 20, 22;
828;MUNISPP;Munida spp.;Leach, 1820;Z;281;;B;m;7, 8, 9, 11, 17, 18, 19, 20, 22, 23;
829;MUNITEN;Munida tenuimana;G.O. Sars, 1872;Z;288;;B;m;1, 5, 6, 7, 8, 10, 15, 19, 22;
830;MURAHEL;Muraena helena;Linnaeus, 1758;C;73.01.01;;Ao;0;1, 2, 5, 8, 11, 15, 16, 18, 20, 22, 25;
831;MUREBRA;Bolinus brandaris;(Linnaeus, 1758);F;MUR Bol 1;d26;Dmg;0;1, 5, 6, 7, 8, 9, 10, 17, 18, 19;
832;MUREEGG;Eggs capsules of Murex;;;;;G;;10, 18;2011 (10, 18)
833;MURETRU;Hexaplex trunculus;(Linnaeus, 1758);R;p. 259 Tav. 100;d27;Dmg;0;1, 6, 8, 9, 10, 17, 18;
834;MUSCCOS;Musculus costulatus;(Risso, 1826);;;;Dmb;;18;2013 (18)
835;MUSTAST;Mustelus asterias;Cloquet, 1819;C;13c.5.2;;Ae;0;5, 15, 16, 17, 18;
836;MUSTMED;Mustelus punctulatus;Risso, 1827;C;13c.5.3;a34;Ae;0;1, 15, 16, 17;
837;MUSTMUS;Mustelus mustelus;(Linnaeus, 1758);C;13c.5.1;;Ae;0;1, 5, 6, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 25;
838;MYCAMAS;Mycale massa;(Schmidt, 1862);;;;Esp;;18;2013 (18)
839;MYCASPP;Mycale spp.;Gray, 1867;;;;Esp;;18;2013 (18)
840;MYCOPUN;Myctophum punctatum;Rafinesque, 1810;C;58.01.01;;Ao;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 23, 25;
841;MYCOSPP;Myctophidae;;C;58;a35;Ao;0;1, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 25;
842;MYCPDAE;Myctophidae;;C;58;a35;Ao;0;1, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 25;
843;MYCTSPP;Mycteroperca spp.;Gill, 1862 ;;;;Ao;0;16;2014 (16)
844;MYLIAQU;Myliobatis aquila;(Linnaeus, 1758);C;23.01.01;;Ae;0;1, 5, 6, 9, 10, 11, 15, 16, 17, 18, 20, 22, 23;
845;MYRITRU;Myriapora truncata;(Pallas, 1766) ;;;;Ebr;;5, 6;2013 (5, 6)
846;MYSIUND;Mysia undata;(Pennant, 1777);;;;Emb;;16;2013 (16)
847;MYTIEDU;Mytilus edulis;Linnaeus, 1758;;;?;Dmb;;1;2013 (1)
848;MYTIGAL;Mytilus galloprovincialis;Lamarck, 1819;F;MYTIL Mytil 1;;Dmb;0;1, 6, 7, 10, 17, 18, 19;
849;MYTISPP;Mytilidae;Rafinesque, 1815;F;MYTIL;d28;Dmb;0;1, 6;
850;MYTLDAE;Mytilidae;Rafinesque, 1815;F;MYTIL;d28;Dmb;0;1, 6;
851;MYXISPP;Myxilla spp.;Schmidt, 1862;;;;Esp;;18;2013 (18)
852;NANSOBI;Nansenia oblita;(Facciolà, 1887);C;46.04.02;;Ao;0;5, 6, 9, 16, 19;
853;NASRDAE;Nassariidae;Iredale, 1916;F;NASS;d29;Dmg;0;17;
854;NASSLIM;Nassarius lima;(Dillwyn, 1817);R;p. 264 Tav. 101;;Dmg;0;9, 19;2011 (9)
855;NASSMUT;Nassarius mutabilis;(Linnaeus, 1758);F;NASS Nass 1;;Dmg;0;9;2011 (9)
856;NASSSPP;Nassariidae;Iredale, 1916;F;NASS;d29;Dmg;0;17;
857;NATCDAE;Naticidae;Guilding, 1834;F;NAT;d30;Dmg;0;1, 6, 9, 17, 19;
858;NATIHEB;Naticarius hebraeus;(Martyn, 1786);;;d31;Dmg;;16;2013 (16)
859;NATIMIL;Naticarius stercusmuscarum;(Gmelin, 1791);F;NAT Natic 2;d32;Dmg;0;6, 9, 10, 18, 19;
860;NATISPP;Naticidae;Guilding, 1834;F;NAT;d30;Dmg;0;1, 6, 9, 17, 19;
861;NAUCDUC;Naucrates ductor;(Linnaeus, 1758);C;131.06.01;;Ao;0;16, 17;
862;NEMAENS;Nematocarcinus ensifer;(Smith, 1882);;;;B;m;22;2014 (22)
863;NEMAEXI;Nematocarcinus exilis;(Bate, 1888);;;;B;;19;2014 (19)
864;NEMEANT;Nemertesia antennina;(Linnaeus, 1758);R;p. 133 Tav. 46;;Ecn;0;18, 19;2011 (18)
865;NEMERAM;Nemertesia ramosa;(Lamarck, 1816);;;;Ecn;0;18, 19;2011 (18)
866;NEMESPP;Nemertesia spp.;Lamouroux, 1812;;;;Ecn;;16;2013 (16)
867;NEMISCO;Nemichthys scolopaceus;Richardson, 1848;C;76.01.01;;Ao;0;1, 5, 6, 7, 9, 10, 11, 16, 18, 19;
868;NEOGMAM;Neogoniolithon mamillosum;Setchell & Mason, 1943;;;;V;;5;2013 (5)
869;NEOPCOC;Neopycnodonte cochlear;(Poli, 1795);F;GRYPH Neop 1;;Emb;0;1, 2, 5, 6, 9, 10, 15, 18, 19;2011 (9, 10, 18, 19)
870;NEORCAR;Neorossia caroli;(Joubin, 1902);F;SEPIOL;;C;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 17, 18, 19, 20, 22;
871;NEPRNOR;Nephrops norvegicus;(Linnaeus, 1758);F;NEPH Neph 1;;B;m;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 17, 18, 19, 20, 22, 23;
872;NERESPP;Nereis spp.;Linnaeus, 1758;;;;Epo;;18;2014 (18)
873;NEROMAC;Nerophis maculatus;Rafinesque, 1810;C;97.02.01;;Ao;0;10;
874;NERPPAR;Nereiphylla paretti;Blainville, 1828;;;;Epo;;19;2014 (19)
875;NETOBRE;Dysomma brevirostre;(Facciolà, 1887);C;81.01.01;a36;Ao;0;6, 8, 19;
876;NETTMEL;Nettastoma melanurum;Rafinesque, 1810;C;80.01.01;;Ao;0;1, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 25;
877;NEURFOL;Neurocaulon foliosum;Zanardini, 1843 ;;;;V;;1, 2, 5, 6;2013 (1, 2, 5, 6)
878;NEVEJOS;Neverita josephinia;Risso, 1826;F;NAT nev 1;;Emg;0;9, 19;2011 (9)
879;NEZUAEQ;Nezumia aequalis;(Günther, 1878);C;99.09.01;;Ao;0;1, 2, 5, 6, 7, 9, 11, 15, 16, 17, 22, 23;
880;NEZUSCL;Nezumia sclerorhynchus;(Valenciennes, 1838);C;99.09.02;;Ao;0;1, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 25;
881;NITOFLA;Nitophyllum flabellatum;Ercegovic, 1949;;;;V;;1, 2, 5, 6;2013 (1, 2, 5, 6)
882;NITOPUN;Nitophyllum punctatum;Greville, 1830;;;;V;;1, 2, 5, 6;2013 (1, 2, 5, 6)
883;NOTABON;Notacanthus bonaparte;Risso, 1840;C;89.01.02;;Ao;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 16, 18, 19, 20, 22, 25;
884;NOTORIS;Arctozenus risso;(Bonaparte, 1840);C;63.04.01;a37;Ao;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 16, 18;
885;NOTRPUN;Notarchus punctatus;Philippi, 1836;R;p. 281 Tav. 108;;Emo;0;18;2011 (18)
886;NOTSBOL;Notoscopelus bolini;Nafpaktitis, 1975;C;58.17.05;a38;Ao;0;1, 6, 7, 8, 9, 19, 22, 25;
887;NOTSELO;Notoscopelus elongatus;(Costa, 1844);C;58.17.03;;Ao;0;1, 2, 5, 6, 8, 9, 10, 15, 16, 17, 18, 19, 20, 22, 25;
888;NOTSKRO;Notoscopelus bolini;Nafpaktitis, 1975;C;58.17.05;a38;Ao;0;1, 6, 7, 8, 9, 19, 22, 25;
889;NOTSSPP;Notoscopelus spp.;Günther, 1864;C;58.17;;Ao;0;5, 8, 10, 17;2011 (10)
890;NUCUNUC;Nucula nucleus;(Linnaeus, 1758);R;p. 314 Tav. 120;;Emb;0;9, 18, 19;2011 (9, 19)
891;NUCUSUL;Nucula sulcata;Bronn, 1831 ;;;;Emb;;1, 6, 16, 19;2013 (1, 6)
892;NUDIBRA;Nudibranchia;Cuvier, 1817;;;;Emo;;5, 6, 9, 15;2013 (5, 6)
893;OBLAMEL;Oblada melanura;(Linnaeus, 1758);C;139.06.01;;Ao;0;6, 7, 9, 11, 17;
894;OCENERI;Ocenebra erinaceus;(Linnaeus, 1758);R;p. 261 Tav. 100;;Dmg;0;1, 2, 6, 10;
895;OCNUPLA;Ocnus planci;(Brandt, 1835);;;;Eec;0;7, 8, 9, 10, 18;2011 (9, 18)
896;OCTESIC;Octopoteuthis sicula;Rüppell, 1844;F;OCTO Oct 1;;C;0;19;2011 (19)
897;OCTODEP;Macrotritopus defilippi;(Vérany, 1851);F;OCT Oct 10;c1;C;0;1, 6, 7, 8, 9, 11, 15, 17, 18, 19, 22, 25;
898;OCTOMAC;Callistoctopus macropus;(Risso, 1826);F;OCT Oct 2;c2;C;0;5, 6, 7, 9, 10, 11, 15, 17, 18, 19, 20, 25;
