N.;MeditsCode;Scientific Name                                                 valid;Authorship ;Source;Reference;Remarks;CATFAU;CODLON;GSAs;Year
1048;PILUHIR;Pilumnus hirtellus;(Linnaeus, 1761) ;;;;B;;1, 2, 5, 6, 9, 16, 17, 19, 25;2013 (1, 2, 5, 6)
1049;PILUSPI;Pilumnus spinifer;H. Milne-Edwards, 1834;Z;391;;B;m;1, 5, 6, 11, 18, 19, 20, 22;
1050;PILUSPP;Pilumnus spp.;Leach, 1816;;;;B;;1, 6, 22;2013 (1, 6)
1051;PILUVIL;Pilumnus villosissimus;(Rafinesque, 1814);Z;392;;B;m;1, 5, 18, 22;
1052;PINNNOB;Pinna nobilis;Linnaeus, 1758;F;PINN Pinn 1;;Dmb;0;1, 6, 18, 19;
1053;PINNPEC;Atrina pectinata;(Linnaeus, 1767);R;p. 322 Tav. 123;d34;Dmb;0;1, 6, 7;
1054;PINNRUD;Pinna rudis;Linnaeus, 1758;;;;Dmb;;18;2013 (18)
1055;PINNSPP;Pinna spp.;Linnaeus, 1758;;;;Dmb;;17, 18;2013 (18)
1056;PINOPIN;Nepinnotheres pinnotheres;(Linnaeus, 1758);Z;409;b27;B;m;1, 6;
1057;PINOPIS;Pinnotheres pisum;(Linnaeus, 1767);;;;B;;6, 16;2013 (6)
1058;PISAARN;Pisa armata;(Latreille, 1803);Z;454;;B;m;1, 2, 5, 6, 7, 8, 9, 11, 17, 18, 19, 20, 22;
1059;PISAHIR;Pisa hirticornis;(Herbst, 1804);;;;B;;1, 2, 5, 6;2013 (1, 2, 5, 6)
1060;PISANOD;Pisa nodipes;(Leach, 1815);Z;454;;B;m;5, 6, 10, 11, 19;
1061;PISASPP;Pisa spp.;Leach, 1814;Z;448;;B;m;5, 9, 15, 22, 25;2011 (9)
1062;PISILON;Pisidia longicornis;(Linnaeus, 1767);Z;293;;B;m;1, 6;
1063;PITARUD;Pitar rudis;(Poli, 1795);;;;Emb;;1, 5;2013 (1, 5)
1064;PLADARG;Platydoris argo;(Linnaeus, 1767);;;;Emo;;6;2013 (6)
1065;PLAGCOS;Plagiobrissus costae;(Gasco, 1876) ;;;;Eec;;18;2014 (18)
1066;PLATFLE;Platichthys flesus;(Linnaeus, 1758);C;197.08.01;;Ao;0;17, 22;
1067;PLAYSPP;Platyscelus spp.;Bate, 1861 ;;;;Bam;;1, 2, 5, 6;2013 (1, 2, 5, 6)
1068;PLEBMEM;Pleurobranchus membranaceus;(Montagu, 1815);;;;Emo;;7;2013 (7)
1069;PLEBTES;Pleurobranchus testudinarius;Cantraine, 1835;;;;Emo;;5;2013 (5)
1070;PLERMEC;Pleurobranchaea meckeli;(Blainville, 1825);R;p. 289 Tav. 111;;Emo;0;1, 5, 6, 7, 8, 9, 10, 18, 19;
